CLASS_NAME,TAGS
Biochemistry I,"Biochemistry, Cells, Molecules, Chemistry, Biology, Processes"
Analytical Chemistry,"Chemistry, Math, Analytics, Particles, Energy, Calculations"
Thermodynamics & Kinetics,"Chemistry, Math, Analytics, Particles, Energy, Calculations, Heat, Temperature"
Quantum & Statistical Mechanics,"Chemistry, MechanicalChemistry, Structure, Particles, Statistics, Computations, Calculations, QuantumMechanics"
Biochemistry II,"Biochemistry, Cells, Molecules, Chemistry, Biology, Processes"
Biochemistry Laboratory I,"Biochemistry, Cells, Molecules, Chemistry, Biology, Processes, Lab"
Biochemistry Laboratory II,"Biochemistry, Cells, Molecules, Chemistry, Biology, Processes, Lab"
Advanced Inorganic Chemistry,"Chemistry, Elements, Energy, Atoms, Particles, Inorganic, Carbon, Reactions, Life, Advanced"
Advanced Organic Chemistry,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life, Advanced"
Polymer Chemistry,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life"
Research Methods in Chemistry II,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life, Research, Study"
Research Methods in Chemistry III,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life, Research, Study"
Intermediate Chinese I & II,"Intermediate, Chinese, LanguageStudy, InternationalStudies, Language, AsianStudies"
Public Presentation,"PublicSpeaking, Speech, Presentation, Talking, Humans, Communications "
Introduction to Communication,"Introductory, Presentations, Humans, Speaking, Communications, Relationships"
Digital Toolbox,"Digital, DigitalTools, Communications, Learning, Online"
Special Topics in Communication,"Communications, SpecialTopics, Relationships, Humans, Speaking"
Elementary Chinese I & II,"Elementary, Chinese, LanguageStudy, InternationalStudies, Language, AsianStudies"
Interpersonal Communication,"Presentations, Humans, Speaking, Communications, Relationships"
Argumentation and Debate,"Communications, Debate, Speech, Presentation, Humans, Talking, Arguments"
Public Relations Writing Tools,"Relations, Writing, Tools, Communications, People, Speaking"
Introduction to Journalism,"Journalism, Introductory, Writing, Articles, Journalist, News"
Journalism Skills,"Journalism, Introductory, Writing, Articles, Journalist, News"
"Sport, Culture, and Communication","Culture, Communications, Journalism, Sports, Writing, News"
Broadcasting,"Television, Sports, Communication, News, Presentation, Public"
Mass Communication Law,"Communications, Law, Humans, Relationship, Public, Regulationss"
News Editing,"News, Journalism, Public, Editing, Articles, Writing"
Small Group Communication,"Communications, People, PublicPresentation, Speech"
Persuasion,"Communications, Speech, Tools, Skills, Techniques, Talking"
Seminar in Communication,"Communications, Speech, Tools, Skills, Techniques, Talking"
Internship in Communication,"Communications, Speech, Tools, Skills, Techniques, Talking, Internship"
Media Strategy,"Media, Journalism ,News, Public, Strategy, Presentation, Communications, Broadcast"
NewsWriting,"News, Journalism, Public, Editing, Articles, Writing"
Public Affairs Reporting,"PublicAffairs, PublicRelations, Communications, News, Media,  Reporting"
Research and Consumer Insight,"Consumer, Research, Marketing, Business, Money, Sales, People"
Intercultural Communication,"Culture, Communications, People, Humans, Society, Relationships"
Magazine Writing,"Journalism, Writing, Media, News, Articles, Magazines, Reading "
Magazine Layout and Design,"Journalism, Writing, Media, News, Articles, Magazines, Design, GraphicDesign"
Creative Problem Solving,"Creativity, ProblemSolving, Thinking, CriticalThinking"
Communication Ethics,"Communications, Humans, Behavior, Ethics, People"
Radio News I,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media"
Broadcast News Writing,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media"
Producing the Newscast,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media"
Applied Research and Analytics,"Research, Analytics, News, Public, Data"
Press in America,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media"
Sex and the Media,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media, GenderStudies"
Visual Storytelling,"Visuals, Media, News, Public, Speech, Story, Graphics"
Readings in Journalism,"Journalism, Introductory, Writing, Articles, Journalism, News, Reading"
PhotoJournalism,"Photography, Journalism, Media,Camera, Articles, News"
Issues in Sports Media,"Sports, Media, News, Journalism, Writing"
"Gender, Culture and Communication","GenderStudies, Communications, People, Culture, HumanBehavior, Relationships"
Communication Capping,"Communications, Speech, Tools, Skills, Techniques, Talking, Capping, Senior"
Communication Campaign Management,"Communications, Speech, Tools, Skills, Techniques, Talking, Campaign, Managment"
Advanced Public Presentations,"Relations, Writing, Tools, Communications, People, Speaking, Presentations"
Advanced CopyWriting,"CopyWriting, Writing, Journalism ,Media, Press, Public, Advanced"
Advertising Research,"Advertising, Marketing, Research, Business, Sales, People, Advanced"
Radio News II,"Radio, Broadcast, News, Public, Speech, Talking, People, Communications, Media"
Branding,"Marketing, Advertising, Sales, Business, Design, GraphicDesign, PublicPresentation"
Sports Broadcasting,"Sports, Broadcast, Journalism, Public, Speech, Television, Radio"
Communication Theory,"Theory, Communications, Speech, Speaking, Relations, Public"
Advocacy Journalism,"Journalism, Introductory, Writing, Articles, Journalism, News, Reading, Relations"
Specialized Journalism,"Journalism, Introductory, Writing, Articles, Journalism, News, Reading"
Sports Reporting,"Sports, Broadcast, Journalism, Public, Speech, Television, Radio"
Sports Public Relations,"Sports, Broadcast, Journalism, Public, Speech, Television, Radio, Relations"
Journalism Praxis,"Journalism, Writing, Articles, Journalist, News, Practical"
Alternative Journalism,"Journalism, Writing, Articles, Journalist, News, Practical"
Journalism Workshop,"Journalism, Writing, Articles, Journalist, News, Practical"
Comparative Communication Systems,"Communications, Speech, Tools, Skills, Techniques, Talking, Systems"
MS Excel,"ComputingTechnology, Excel, Skills, Tools, Compentancy "
Game Studies Seminar,"Gaming, GameDesign, Technology, Design, ComputingTechnology"
SoftWare Development II,"SoftWare, ComputingTechnology, SoftwareDevelopment, Coding, PHP, HTML, SQL"
SoftWare Systems and Analysis,"SoftWare, Systems, Analysis, ComputingTechnology, Business, Development"
Management Information Systems,"InformationSystems, Management, ProjectManager, ComputingTechnology"
Introduction to Programming,"Python, ComputingTechnology, Coding, Introductory, Fundamentals, Programming"
"Technology, Ethics, and Society","Ethics, Society, ComputingTechnology, Writing, Articles"
SoftWare Development I,"ComputingTechnology, Java, Coding, OOP, Programming, SoftWare, SoftwareDevelopment"
Data Communications and Networks,"InformationTechnology, IT, Data, Communications, Networking, Devices"
InterNetworking,"InformationTechnology, IT, Data, Communications, Networking, Devices"
Introduction to z/OS Networking,"Networking, ComputingTechnology, InformationTechnology, OperatingSystems, Introductory, IBM, zOS"
Database Management,"SQL, Data, Databases, Query, Organizations, Filtering, Sorting, Searching"
Introduction to z/OS Security,"Security, OperatinSystems, Cybersecurity, IBM, zOS"
Project Management,"InformationSystems, ProjectManagement, Lead, Project, People, Relations, Organization"
UNIX,"UNIX, OperatingSystems, ComputerScience, Programming, Coding"
System Design,"Design, CSS, HTML, WebDesign, DigitalDesign, Website, Systems"
Theory of Programming Languages,"Theory, LanguageStudy, LetLang, Compilers, Programming, Coding, Syntax"
Language Study,"LanguageStudy, Coding, Theory, Syntax"
E-Commerce Development and Design,"ECommerce, Business, Design, Coding, Website, Online, Development"
Introduction to Cybersecurity,"Cybersecurity, Coding, Hacking, ComputingTechnology, Security, Testing, Coding"
Hacking and Penetration Testing,"Cybersecurity, Coding, Hacking, ComputingTechnology, Security, Testing, Coding"
Robotics,"Engineering, Programming, Robotics, Coding, ComputingTechnology"
Game Design and Programming I,"Gaming, GameDesign, Technology, Design, ComputingTechnology, Programming"
Game Design and Programming II,"Gaming, GameDesign, Technology, Design, ComputingTechnology, Programming"
Mobile Security,"Cybersecurity, Coding, Hacking, ComputingTechnology, Security, Testing, Coding, Mobile"
Internet Security,"Cybersecurity, Coding, Hacking, ComputingTechnology, Security, Testing, Coding, Internet"
Operating Systems,"Typescript, Coding, Programming, OpertatingSystems, Systems, HTML, Debugging, Design, ComputingTechnology"
Distributed Systems,"Systems, ComputingTechnology, OperatingSystems, Coding, Programming, Computers"
Wireless Communications,"Wireless, Network, Networking, InformationTechnology, Devices, Mobile,  Communications"
Data and Information Management,"Data, DataManagement, InformationTechnology, Communications, Database, Networking"
Technology Entrepreneurship,"ComputingTechnology, Entrepreneurship, Personal, Technology, People, Growth"
Design of Compilers,"Compilers, Coding, LanguageStudy, Programming, Design, Software, ComputingTechnology"
Algorithm Analysis and Design,"Math, Algorithms, Design, Analysis, ComputerScience,  Patterns, Sorting, Searching"
Formal Languages and Computability,"LanguageStudy, ComputingTechnology, Coding, ComputerScience, Language, Compiling "
Computer Graphics,"ComputerGraphics, DigitalGraphics, Graphics, ComputingTechnology, Design, Creativity, DigitalDesign"
z/OS Advanced Topics,"IBM, zOS, ComputerScience, ComputingTechnology"
z/OS Emerging Technologies,"IBM, zOS, ComputerScience, ComputingTechnology"
z/OS Installation,"IBM, zOS, ComputerScience, ComputingTechnology"
z/OS Performance Fundamentals,"IBM, zOS, ComputerScience, ComputingTechnology"
Advanced Topics in CS,"Advanced, Topics, ComputerScience, ComputingTechnology"
Advanced Topics in ITS,"Advanced, Topics, InformationTechnology, InformationSystems"
Advanced Topics in CS,"Advanced, Topics, ComputerScience, ComputingTechnology"
Advanced Topics in ITS,"Advanced, Topics, InformationTechnology, InformationSystems"
IS Policy,"Advanced, Topics, InformationSystems, InformationTechnology, ComputingTechnology, Cappng, Project, Senior"
CS Project I,"Advanced, Topics, ComputerScience, ComputingTechnology, Cappng, Project, Senior"
CS Project II,"Advanced, Topics, ComputerScience, ComputingTechnology, Cappng, Project, Senior"
Advanced Technology Internship,"nformationSystems, InformationTechnology, ComputingTechnology, Internship"
ITS Project I,"Advanced, Topics, InformationSystems, InformationTechnology, ComputingTechnology, Cappng, Project, Senior"
Criminology,"Criminals, CriminalJustice, People, HumanBehavior, Law"
ITS Project II,"Advanced, Topics, InformationSystems, InformationTechnology, ComputingTechnology, Cappng, Project, Senior"
Cloud Infrastructure and Services,"CloudComputing, Cloud, Infrastructure, Systems"
Advanced Facilities Management,"Infrastructure, Systems, Management"
Introduction to Criminal Justice,"Introductory, CriminalJustice, Law, People, Regulationss, HumanBehavior, Forensics, Behavior"
Law and Society,"Law, Society, People, HumanBehavior, Regulationss, Culture, Humans, Community,  CriminalJustice"
Policing in America,"Policy, AmericanStudies, Society, Regulationss, Law, Culture, HumanBehavior, People,  CriminalJustice"
Corrections and Penology,"Regulations, Rules, Law, Policy, People, HumanBehavior, CriminalJustice"
Drug and Alcohol Use and Abuse,"HumanBehavior, Law, Medicine, Drugs, CriminalJustice, DrugAbuse, Criminals, People"
Criminal Law and Procedure," CriminalJustice, Law, Rules, Regulationss, Society, Criminals"
Organized Crime," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime"
Theories of Punishment," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime"
Criminal Justice Research Methods," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime"
Criminal Justice Ethics," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime"
Terrorism," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime"
Race and Crime," CriminalJustice, Law, Rules, Regulationss, Society, Criminals, Humans, People, Crime, Culture"
Senior Seminar: Capping Course,"CriminalJustice, Law, People, Regulationss, HumanBehavior, Forensics, Behavior, Capping, Senior, Project"
The Civilization of Japan,"AsianStudies, Culture, WorldStudies, Society, Civilizations, Japan, People, Community"
Arabic Cultures and Perspectives,"Arabic, EasternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People"
Cultures of Spain,"Spain, Europe, EasternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People"
Cultures of the Hispanic Caribbean,"Caribbean, Spanish, EasternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People"
Introduction to Global Issues,"WorldStudies, GlobalStudies, GlobalIssues, Culture, People, Humans, Society"
France & the World,"France, Europe, Society, EasternStudies, EuropeanStudies, WorldStudies, Community, GlobalStudies"
French Culture & Thought:,"France, Europe, Society, EasternStudies, EuropeanStudies, WorldStudies, Community, GlobalStudies"
Cultures of Latin America,"Spanish, WesternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People"
Themes in Spanish Cinema,"Spanish, WesternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People, Film, Movies, Acting, Actors"
Themes in Latin American Cinema,"Spanish, WesternStudies, WorldStudies, InternationalStudies, Culture, People, Society, People, Film, Movies, Acting, Actors"
Introduction to Data Analysis,"Data, Analysis, Analytics, DataScience, DataAnalysis, Statistics, R"
The Civilization of Italy,"Italy, WorldStudies, Europe, EuropeanStudies, EasternStudies, Civilizations, People, WorldHistory"
Data Visualization,"Data, Analysis, Analytics, DataScience, DataAnalysis, Statistics, R, ComputerGraphics, Visualization, DataVisualization, Charts, Tables"
Machine Learning,"ArtificialIntelligence, MachineLearning, ComputerScience, ComputingTechnology, ComputerEngineering, DataScience, Data"
Economics of Gender,"Economics, GenderStudies, Sex, Gender, Society, Civilization, WorldStudies"
Data Mining & Predictive Analytics,"Data, Analysis, Analytics, DataScience, DataAnalysis, Statistics, R, DataMining, DataPrediction, Predictive"
Data Science Project (CAPSTONE),"Data, Analysis, Analytics, DataScience, DataAnalysis, Statistics, R, DataMining, DataPrediction, Predictive, CapStone"
Principles of MicroEconomics,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices"
Principles of MacroEconomics,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices"
Economics of Social Issues,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices, Social, Society"
Intermediate Microeconomic Theory,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices"
Intermediate Macroeconomic Theory,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices"
Environmental Economics,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices, Environment, EnvironmentalStudies"
Labor Economics,"Economics, SupplyAndDemand, Supply, Demand, Money, Investing, Tax, Business, Prices, Labor"
Money and Banking,"Money, Banking, Finance, Economics, FederalReserve, Cash, Investing, Banks"
Financial Markets and Institutions,"Finance, Economics, Investing, Stocks, Markets, Cash, Money, Banking, Banks, HedgeFunds, Firms"
International Economics,"InternationalStudies, Economics, Money, GlobalStudies, WorldStudies, Banking"
History of Economic Thought,"Economics, PhilosophyMoney, SupplyAndDemand, Supply, Demand, Banks, People"
Contemporary Economic Issues,"Economics, PhilosophyMoney, SupplyAndDemand, Supply, Demand, Banks, People"
Foundations of Education,"Foundational, Education, Teaching, Learning, Children, School, Teacher"
Introduction to Teaching,"Foundational, Introductory, Education, Teaching, Learning, Children, School, Teacher"
Genre Study,"Genre, Study, Books, Reading, Writing, English, Society, Poetry, Poems, Drama"
