class_name,tags
HISTOLOGY,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL, ANATOMY, LIFE, BODILYFUNCTIONS, CELLS, SKIN, ANIMALS"
ANIMAL BEHAVIOR,"BIOLOGY, ENVIORNMENT, LIFE, CELLS, ANIMALS, NATURAL, ORGANISMS, BEHAVIOR"
FRESHWATER ECOLOGY,"BIOLOGY, ENVIORNMENT, LIFE, CELLS, ANIMALS, NATURAL, ORGANISMS, FRESHWATER, WATER, PLANTS"
ECOLOGY: PRINCIPLES & PRACTICE,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE, PRACTICAL"
SPECIAL TOPICS IN BIOLOGY I,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
SPECIAL TOPICS IN BIOLOGY II,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
SPECIAL TOPICS IN BIOLOGY III,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
INVERTEBRATE ZOOLOGY,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE, INVERTEBRATE, ZOO"
PLANT PHYSIOLOGY,"BIOLOGY, ENVIRONMENT, PLANT, CELLS, PLANTCELLS, LIFE, ORGANISMS, FOOD"
ADVANCED HUMAN PHYSIOLOGY,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL, ANATOMY, LIFE, BODILYFUNCTIONS"
BIOTECHNOLOGY,"BIOLOGY, TECHNOLOGY, MODERN, LIFE, ORGANISMS, DNA, ENGINEERING, MEDICINE"
DEVELOPMENTAL BIOLOGY,"BIOLOGY, TECHNOLOGY, MODERN, LIFE, ORGANISMS, DNA, ENGINEERING, MEDICINE"
PARASITOLOGY,"BIOLOGY, PARASITES, SICKNESS, HEALTH, LIFE, ORGANISMS, DISEASE, ANIMALS, PLANTS"
CAPPING COURSE,"BIOLOGY, SCIENCE, CAPPING, SENIOR"
MOLECULAR BIOLOGY,"BIOLOGY, MOLECULES, PLANTS, ANIMALS, CELLS, CELLSTRUCTURE, DNA"
ORGANIZATIONAL BEHAVIOR,"BIOLOGY, BEHAVIOR, PLANTS, ANIMALS, ENVIRONMENT"
BIOLOGY INTERNSHIP,"BIOLOGY, INTERNSHIP, SCIENCE"
FINANCIAL LITERACY,"BUSINESS, BUSINESSADMINISTRATION, FINANCE, LITERACY, MONEY, BILLS, TAXES, LIFE, STOCKS, INVESTING, MORTGAGE, SAVINGS, JOB"
GLOBAL BUSINESS & SOCIETY,"BUSINESS, BUSINESSADMINISTRATION, SOCIETY, GLOBAL, INTERNATIONAL, WORLDSTUDIES"
HUMAN RESOURCE MANAGEMENT,"BUSINESS, BUSINESSADMINISTRATION, HUMANS, HUMANRESOURCES, HUMANBEHAVIOR, CONDUCT"
FINANCIAL MANAGEMENT,"FINANCE, MONEY, TAXES, BUSINESS, BUSINESSADMINISTRATION,MANAGEMENT, WEALTH"
MARKETING PRINCIPLES,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION"
ENTREPRENEURSHIP,"BUSINESS, BUSINESSADMINISTRATION, ENTREPRENEURSHIP, MONEY, SALES, PERSONAL"
BUSINESS LAW I,"BUSINESS, BUSINESSADMINISTRATION, LAW, CORPORATE, PEOPLE, REGULATIONSS"
BUSINESS LAW II,"BUSINESS, BUSINESSADMINISTRATION, LAW, CORPORATE, PEOPLE, REGULATIONSS"
INVESTMENT ANALYSIS,"BUSINESS, BUSINESSADMINISTRATION, INVESTING, FINANCE, MONEY, STOCKS, ANALYSIS, BONDS"
OPERATIONS MANAGEMENT,"BUSINESS, BUSINESSADMINISTRATION, OPERATIONS, MONEY, EXCEL, CASHFLOWS, TAXES, SUPPLYANDDEMAND, OPERATIONCHAIN"
CORPORATE FINANCE,"BUSINESS, BUSINESSADMINISTRATION, CORPORATE, FINANCE, MONEY, CASHFLOWS, REGULATIONS"
LEGAL FOUNDATION OF BUSINESS,"BUSINESS, BUSINESSADMINISTRATION, LAW, CORPORATE, PEOPLE, REGULATIONSS, PEOPLE"
INVESTMENT PRACTICUM: EQUITIES,"BUSINESS, BUSINESSADMINISTRATION, INVESTING, STOCKS, PRACTICAL, EQUITIES, BONDS, TRADING"
LABOR RELATIONS,"BUSINESS, BUSINESSADMINISTRATION, PEOPLE, WORK, LABOR, HUMANS, RELATIONSHIPS"
INVESTMENT PRACTICUM: FIXED INCOME,"BUSINESS, BUSINESSADMINISTRATION, INVESTING, STOCKS, PRACTICAL, EQUITIES, BONDS, TRADING"
COMPENSATION ADMINISTRATION,"BUSINESS, BUSINESSADMINISTRATION, INVESTING, STOCKS, PRACTICAL, EQUITIES, BONDS, TRADING"
EMPLOYMENT AND DEVELOPMENT,"BUSINESS, BUSINESSADMINISTRATION, LABOR, EMPLOYMENT, HUMANS, WORKPLACE"
INTERNATIONAL TRADE MANAGEMENT,"BUSINESS, BUSINESSADMINISTRATION, INVESTING, STOCKS, PRACTICAL, EQUITIES, BONDS, TRADING, INTERNATIONALTRADING"
MARKETING COMMUNICATIONS,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION, COMMUNICATIONS"
MARKETING POLICIES & PROBLEMS,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION"
MANAGEMENT STRATEGY AND POLICY,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION"
MARKETING RESEARCH,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION"
INTERNATIONAL MARKETING,"MARKETING, FINANCE, PRINCIPLES, ADVERTISING, MONEY, SALES, BUSINESS, BUSINESSADMINISTRATION, INTERNATIONAL"
EMPLOYMENT PRACTICUM,"PRACTICAL, CAREER, CAREERDEVELOPMENT, GROWTH, PERSONAL"
PRINCIPLES OF ORGANIC CHEMISTRY,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE"
CATHOLIC THOUGHT AND SPIRITUALITY,"RELIGION, RELIGIOUSSTUDIES, CATHOLICSTUDIES, SPIRTUALITY, PEOPLE, BELIEFSYSTEMS"
INTRODUCTION TO CHEMISTRY,"CHEMISTRY, INTRODUCTORY, ELEMENTS, ENERGY, ATOMS, PARTICLES"
COMPUTATIONAL CHEMISTRY,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, MATH, EQUATIONS"
ORGANIC CHEMISTRY I,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE"
ORGANIC CHEMISTRY II,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE"
ORGANIC CHEMISTRY LABORATORY I,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE, LAB"
ORGANIC CHEMISTRY LABORATORY II,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE, LAB"
PRINCIPLES OF BIOCHEMISTRY,"CHEMISTY, BIOLOGY, BIOCHEMISTRY, PRINCIPLES, LIFE, ATOMS, ORGANISMS, PARTICLES"
ENVIRONMENTAL CHEMISTRY LABORATORY,"CHEMISTRY, LAB, ENVIRONMENT, ORGANISMS, BIOCHEMISTRY"
ENVIRONMENTAL CHEMISTRY,"CHEMISTRY, ENVIRONMENT, ORGANISMS, BIOCHEMISTRY"
MECHANICS,"CHEMISTRY, MECHANICALCHEMISTRY, STRUCTURE, PARTICLES"
BIOCHEMISTRY I,"BIOCHEMISTRY, CELLS, MOLECULES, CHEMISTRY, BIOLOGY, PROCESSES"
ANALYTICAL CHEMISTRY,"CHEMISTRY, MATH, ANALYTICS, PARTICLES, ENERGY, CALCULATIONS"
THERMODYNAMICS & KINETICS,"CHEMISTRY, MATH, ANALYTICS, PARTICLES, ENERGY, CALCULATIONS, HEAT, TEMPERATURE"
QUANTUM & STATISTICAL MECHANICS,"CHEMISTRY, MECHANICALCHEMISTRY, STRUCTURE, PARTICLES, STATISTICS, COMPUTATIONS, CALCULATIONS, QUANTUMMECHANICS"
BIOCHEMISTRY II,"BIOCHEMISTRY, CELLS, MOLECULES, CHEMISTRY, BIOLOGY, PROCESSES"
BIOCHEMISTRY LABORATORY I,"BIOCHEMISTRY, CELLS, MOLECULES, CHEMISTRY, BIOLOGY, PROCESSES, LAB"
BIOCHEMISTRY LABORATORY II,"BIOCHEMISTRY, CELLS, MOLECULES, CHEMISTRY, BIOLOGY, PROCESSES, LAB"
ADVANCED INORGANIC CHEMISTRY,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, INORGANIC, CARBON, REACTIONS, LIFE, ADVANCED"
ADVANCED ORGANIC CHEMISTRY,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE, ADVANCED"
POLYMER CHEMISTRY,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE"
RESEARCH METHODS IN CHEMISTRY II,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE, RESEARCH, STUDY"
RESEARCH METHODS IN CHEMISTRY III,"CHEMISTRY, ELEMENTS, ENERGY, ATOMS, PARTICLES, ORGANIC, CARBON, REACTIONS, LIFE, RESEARCH, STUDY"
INTERMEDIATE CHINESE I & II,"INTERMEDIATE, CHINESE, LANGUAGESTUDY, INTERNATIONALSTUDIES, LANGUAGE, ASIANSTUDIES"
PUBLIC PRESENTATION,"PUBLICSPEAKING, SPEECH, PRESENTATION, TALKING, HUMANS, COMMUNICATIONS "
INTRODUCTION TO COMMUNICATION,"INTRODUCTORY, PRESENTATIONS, HUMANS, SPEAKING, COMMUNICATIONS, RELATIONSHIPS"
DIGITAL TOOLBOX,"DIGITAL, DIGITALTOOLS, COMMUNICATIONS, LEARNING, ONLINE"
SPECIAL TOPICS IN COMMUNICATION,"COMMUNICATIONS, SPECIALTOPICS, RELATIONSHIPS, HUMANS, SPEAKING"
ELEMENTARY CHINESE I & II,"ELEMENTARY, CHINESE, LANGUAGESTUDY, INTERNATIONALSTUDIES, LANGUAGE, ASIANSTUDIES"
INTERPERSONAL COMMUNICATION,"PRESENTATIONS, HUMANS, SPEAKING, COMMUNICATIONS, RELATIONSHIPS"
ARGUMENTATION AND DEBATE,"COMMUNICATIONS, DEBATE, SPEECH, PRESENTATION, HUMANS, TALKING, ARGUMENTS"
PUBLIC RELATIONS WRITING TOOLS,"RELATIONS, WRITING, TOOLS, COMMUNICATIONS, PEOPLE, SPEAKING"
INTRODUCTION TO JOURNALISM,"JOURNALISM, INTRODUCTORY, WRITING, ARTICLES, JOURNALIST, NEWS"
JOURNALISM SKILLS,"JOURNALISM, INTRODUCTORY, WRITING, ARTICLES, JOURNALIST, NEWS"
"SPORT, CULTURE, AND COMMUNICATION","CULTURE, COMMUNICATIONS, JOURNALISM, SPORTS, WRITING, NEWS"
BROADCASTING,"TELEVISION, SPORTS, COMMUNICATION, NEWS, PRESENTATION, PUBLIC"
MASS COMMUNICATION LAW,"COMMUNICATIONS, LAW, HUMANS, RELATIONSHIP, PUBLIC, REGULATIONSS"
NEWS EDITING,"NEWS, JOURNALISM, PUBLIC, EDITING, ARTICLES, WRITING"
SMALL GROUP COMMUNICATION,"COMMUNICATIONS, PEOPLE, PUBLICPRESENTATION, SPEECH"
PERSUASION,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING"
SEMINAR IN COMMUNICATION,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING"
INTERNSHIP IN COMMUNICATION,"COMMUNICATIONS, SPEECH, TOOLS, SKILLS, TECHNIQUES, TALKING, INTERNSHIP"
MEDIA STRATEGY,"MEDIA, JOURNALISM ,NEWS, PUBLIC, STRATEGY, PRESENTATION, COMMUNICATIONS, BROADCAST"
NEWSWRITING,"NEWS, JOURNALISM, PUBLIC, EDITING, ARTICLES, WRITING"
PUBLIC AFFAIRS REPORTING,"PUBLICAFFAIRS, PUBLICRELATIONS, COMMUNICATIONS, NEWS, MEDIA,  REPORTING"
RESEARCH AND CONSUMER INSIGHT,"CONSUMER, RESEARCH, MARKETING, BUSINESS, MONEY, SALES, PEOPLE"
INTERCULTURAL COMMUNICATION,"CULTURE, COMMUNICATIONS, PEOPLE, HUMANS, SOCIETY, RELATIONSHIPS"
MAGAZINE WRITING,"JOURNALISM, WRITING, MEDIA, NEWS, ARTICLES, MAGAZINES, READING "
MAGAZINE LAYOUT AND DESIGN,"JOURNALISM, WRITING, MEDIA, NEWS, ARTICLES, MAGAZINES, DESIGN, GRAPHICDESIGN"
CREATIVE PROBLEM SOLVING,"CREATIVITY, PROBLEMSOLVING, THINKING, CRITICALTHINKING"
COMMUNICATION ETHICS,"COMMUNICATIONS, HUMANS, BEHAVIOR, ETHICS, PEOPLE"
RADIO NEWS I,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA"
BROADCAST NEWS WRITING,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA"
PRODUCING THE NEWSCAST,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA"
APPLIED RESEARCH AND ANALYTICS,"RESEARCH, ANALYTICS, NEWS, PUBLIC, DATA"
PRESS IN AMERICA,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA"
SEX AND THE MEDIA,"RADIO, BROADCAST, NEWS, PUBLIC, SPEECH, TALKING, PEOPLE, COMMUNICATIONS, MEDIA, GENDERSTUDIES"
VISUAL STORYTELLING,"VISUALS, MEDIA, NEWS, PUBLIC, SPEECH, STORY, GRAPHICS"
READINGS IN JOURNALISM,"JOURNALISM, INTRODUCTORY, WRITING, ARTICLES, JOURNALISM, NEWS, READING"
PHOTOJOURNALISM,"PHOTOGRAPHY, JOURNALISM, MEDIA,CAMERA, ARTICLES, NEWS"
ISSUES IN SPORTS MEDIA,"SPORTS, MEDIA, NEWS, JOURNALISM, WRITING"
"GENDER, CULTURE AND COMMUNICATION","GENDERSTUDIES, COMMUNICATIONS, PEOPLE, CULTURE, HUMANBEHAVIOR, RELATIONSHIPS"
